"State","All Races/Ethnicities (With Disability)","White, Non-Hispanic (With Disability)","Black, Non-Hispanic (With Disability)","Asian, Non-Hispanic (With Disability)","American Indian or Alaska Native, Non-Hispanic (With Disability)","Native Hawaiian and Other Pacific Islander, Non-Hispanic (With Disability)","Other/Multiple Races, Non-Hispanic (With Disability)","Hispanic (With Disability)","All Races/Ethnicities (Without Disability)"
"AL","29%","31%","23%","49%","27%","Not Available","32%","37%","73%"
"AK","43%","47%","42%","48%","37%","Not Available","49%","34%","74%"
"AZ","36%","36%","33%","45%","26%","Not Available","38%","38%","74%"
"AR","30%","31%","24%","46%","36%","Not Available","31%","37%","75%"
"CA","35%","35%","25%","39%","26%","35%","38%","37%","74%"
"CO","43%","44%","33%","50%","30%","Not Available","42%","41%","80%"
"CT","38%","42%","29%","49%","Not Available","Not Available","38%","31%","78%"
"DE","37%","36%","36%","Not Available","Not Available","Not Available","35%","46%","76%"
"DC","35%","65%","26%","65%","Not Available","Not Available","35%","51%","78%"
"FL","34%","34%","27%","45%","35%","Not Available","36%","35%","75%"
"GA","34%","36%","30%","41%","26%","Not Available","33%","47%","75%"
"HI","40%","43%","37%","42%","Not Available","35%","40%","39%","78%"
"ID","42%","42%","Not Available","Not Available","30%","Not Available","38%","42%","77%"
"IL","37%","40%","25%","45%","23%","Not Available","36%","39%","77%"
"IN","37%","38%","29%","36%","30%","Not Available","39%","46%","78%"
"IA","44%","45%","32%","51%","37%","Not Available","40%","48%","82%"
"KS","44%","45%","36%","49%","32%","Not Available","43%","46%","81%"
"KY","31%","31%","28%","43%","32%","Not Available","28%","41%","75%"
"LA","32%","35%","27%","28%","30%","Not Available","30%","44%","72%"
"ME","34%","34%","34%","Not Available","21%","Not Available","30%","34%","81%"
"MD","41%","43%","36%","48%","45%","Not Available","42%","53%","80%"
"MA","38%","39%","35%","45%","25%","Not Available","40%","32%","80%"
"MI","34%","36%","24%","42%","30%","Not Available","32%","43%","76%"
"MN","47%","49%","33%","38%","28%","Not Available","40%","51%","84%"
"MS","28%","32%","23%","49%","32%","Not Available","25%","37%","71%"
"MO","35%","36%","29%","51%","29%","Not Available","33%","42%","79%"
"MT","44%","45%","Not Available","Not Available","31%","Not Available","41%","55%","79%"
"NE","49%","51%","39%","33%","32%","Not Available","44%","49%","84%"
"NV","39%","38%","27%","44%","26%","40%","42%","47%","75%"
"NH","43%","44%","34%","Not Available","Not Available","Not Available","25%","43%","82%"
"NJ","38%","40%","28%","46%","24%","Not Available","38%","37%","78%"
"NM","32%","34%","41%","Not Available","28%","Not Available","25%","31%","72%"
"NY","33%","36%","27%","38%","25%","Not Available","36%","31%","76%"
"NC","33%","35%","27%","43%","26%","Not Available","37%","46%","76%"
"ND","51%","52%","56%","Not Available","37%","Not Available","46%","72%","84%"
"OH","36%","37%","29%","48%","22%","Not Available","37%","40%","78%"
"OK","37%","38%","29%","45%","32%","Not Available","36%","43%","75%"
"OR","39%","39%","29%","37%","28%","Not Available","33%","47%","77%"
"PA","36%","39%","27%","41%","29%","Not Available","34%","31%","78%"
"RI","36%","38%","32%","32%","Not Available","Not Available","39%","33%","79%"
"SC","33%","35%","28%","52%","22%","Not Available","34%","38%","75%"
"SD","49%","54%","64%","Not Available","33%","Not Available","36%","36%","82%"
"TN","33%","33%","30%","50%","20%","Not Available","34%","47%","76%"
"TX","39%","41%","31%","47%","41%","41%","38%","40%","75%"
"UT","46%","47%","29%","48%","29%","46%","45%","49%","80%"
"VT","40%","41%","Not Available","Not Available","Not Available","Not Available","47%","Not Available","81%"
"VA","39%","40%","34%","50%","43%","Not Available","41%","53%","78%"
"WA","40%","40%","34%","45%","29%","36%","37%","43%","78%"
"WV","28%","28%","28%","Not Available","Not Available","Not Available","26%","34%","71%"
"WI","42%","44%","22%","36%","33%","Not Available","40%","43%","82%"
"WY","45%","45%","Not Available","Not Available","40%","Not Available","50%","45%","80%"
