State,All Races/Ethnicities (With Disability),"White, Non-Hispanic (With Disability)","Black, Non-Hispanic (With Disability)","Asian, Non-Hispanic (With Disability)","American Indian or Alaska Native, Non-Hispanic (With Disability)","Native Hawaiian and Other Pacific Islander, Non-Hispanic (With Disability)","Other/Multiple Races, Non-Hispanic (With Disability)",Hispanic (With Disability)
AL,0.29,0.31,23%,49%,27%,Not Available,32%,0.37
AK,0.43,0.47,42%,48%,37%,Not Available,49%,0.34
AZ,0.36,0.36,33%,45%,26%,Not Available,38%,0.38
AR,0.30,0.31,24%,46%,36%,Not Available,31%,0.37
CA,0.35,0.35,25%,39%,26%,35%,38%,0.37
CO,0.43,0.44,33%,50%,30%,Not Available,42%,0.41
CT,0.38,0.42,29%,49%,Not Available,Not Available,38%,0.31
DE,0.37,0.36,36%,Not Available,Not Available,Not Available,35%,0.46
DC,0.35,0.65,26%,65%,Not Available,Not Available,35%,0.51
FL,0.34,0.34,27%,45%,35%,Not Available,36%,0.35
GA,0.34,0.36,30%,41%,26%,Not Available,33%,0.47
HI,0.40,0.43,37%,42%,Not Available,35%,40%,0.39
ID,0.42,0.42,Not Available,Not Available,30%,Not Available,38%,0.42
IL,0.37,0.40,25%,45%,23%,Not Available,36%,0.39
IN,0.37,0.38,29%,36%,30%,Not Available,39%,0.46
IA,0.44,0.45,32%,51%,37%,Not Available,40%,0.48
KS,0.44,0.45,36%,49%,32%,Not Available,43%,0.46
KY,0.31,0.31,28%,43%,32%,Not Available,28%,0.41
LA,0.32,0.35,27%,28%,30%,Not Available,30%,0.44
ME,0.34,0.34,34%,Not Available,21%,Not Available,30%,0.34
MD,0.41,0.43,36%,48%,45%,Not Available,42%,0.53
MA,0.38,0.39,35%,45%,25%,Not Available,40%,0.32
MI,0.34,0.36,24%,42%,30%,Not Available,32%,0.43
MN,0.47,0.49,33%,38%,28%,Not Available,40%,0.51
MS,0.28,0.32,23%,49%,32%,Not Available,25%,0.37
MO,0.35,0.36,29%,51%,29%,Not Available,33%,0.42
MT,0.44,0.45,Not Available,Not Available,31%,Not Available,41%,0.55
NE,0.49,0.51,39%,33%,32%,Not Available,44%,0.49
NV,0.39,0.38,27%,44%,26%,40%,42%,0.47
NH,0.43,0.44,34%,Not Available,Not Available,Not Available,25%,0.43
NJ,0.38,0.40,28%,46%,24%,Not Available,38%,0.37
NM,0.32,0.34,41%,Not Available,28%,Not Available,25%,0.31
NY,0.33,0.36,27%,38%,25%,Not Available,36%,0.31
NC,0.33,0.35,27%,43%,26%,Not Available,37%,0.46
ND,0.51,0.52,56%,Not Available,37%,Not Available,46%,0.72
OH,0.36,0.37,29%,48%,22%,Not Available,37%,0.40
OK,0.37,0.38,29%,45%,32%,Not Available,36%,0.43
OR,0.39,0.39,29%,37%,28%,Not Available,33%,0.47
PA,0.36,0.39,27%,41%,29%,Not Available,34%,0.31
RI,0.36,0.38,32%,32%,Not Available,Not Available,39%,0.33
SC,0.33,0.35,28%,52%,22%,Not Available,34%,0.38
SD,0.49,0.54,64%,Not Available,33%,Not Available,36%,0.36
TN,0.33,0.33,30%,50%,20%,Not Available,34%,0.47
TX,0.39,0.41,31%,47%,41%,41%,38%,0.40
UT,0.46,0.47,29%,48%,29%,46%,45%,0.49
VT,0.40,0.41,Not Available,Not Available,Not Available,Not Available,47%,Not Available
VA,0.39,0.40,34%,50%,43%,Not Available,41%,0.53
WA,0.40,0.40,34%,45%,29%,36%,37%,0.43
WV,0.28,0.28,28%,Not Available,Not Available,Not Available,26%,0.34
WI,0.42,0.44,22%,36%,33%,Not Available,40%,0.43
WY,0.45,0.45,Not Available,Not Available,40%,Not Available,50%,0.45
