State,AllRaces/Ethnicities(WithDisability),"White,Non-Hispanic(WithDisability)","Black,Non-Hispanic(WithDisability)","Asian,Non-Hispanic(WithDisability)","AmericanIndianorAlaskaNative,Non-Hispanic(WithDisability)","NativeHawaiianandOtherPacificIslander,Non-Hispanic(WithDisability)","Other/MultipleRaces,Non-Hispanic(WithDisability)",Hispanic(WithDisability),AllRaces/Ethnicities(WithoutDisability)
AL,0.29,0.31,0.23,0.49,0.27,NotAvailable,0.32,0.37,0.73
AK,0.43,0.47,0.42,0.48,0.37,NotAvailable,0.49,0.34,0.74
AZ,0.36,0.36,0.33,0.45,0.26,NotAvailable,0.38,0.38,0.74
AR,0.30,0.31,0.24,0.46,0.36,NotAvailable,0.31,0.37,0.75
CA,0.35,0.35,0.25,0.39,0.26,0.35,0.38,0.37,0.74
CO,0.43,0.44,0.33,0.50,0.30,NotAvailable,0.42,0.41,0.80
CT,0.38,0.42,0.29,0.49,NotAvailable,NotAvailable,0.38,0.31,0.78
DE,0.37,0.36,0.36,NotAvailable,NotAvailable,NotAvailable,0.35,0.46,0.76
DC,0.35,0.65,0.26,0.65,NotAvailable,NotAvailable,0.35,0.51,0.78
FL,0.34,0.34,0.27,0.45,0.35,NotAvailable,0.36,0.35,0.75
GA,0.34,0.36,0.30,0.41,0.26,NotAvailable,0.33,0.47,0.75
HI,0.40,0.43,0.37,0.42,NotAvailable,0.35,0.40,0.39,0.78
ID,0.42,0.42,NotAvailable,NotAvailable,0.30,NotAvailable,0.38,0.42,0.77
IL,0.37,0.40,0.25,0.45,0.23,NotAvailable,0.36,0.39,0.77
IN,0.37,0.38,0.29,0.36,0.30,NotAvailable,0.39,0.46,0.78
IA,0.44,0.45,0.32,0.51,0.37,NotAvailable,0.40,0.48,0.82
KS,0.44,0.45,0.36,0.49,0.32,NotAvailable,0.43,0.46,0.81
KY,0.31,0.31,0.28,0.43,0.32,NotAvailable,0.28,0.41,0.75
LA,0.32,0.35,0.27,0.28,0.30,NotAvailable,0.30,0.44,0.72
ME,0.34,0.34,0.34,NotAvailable,0.21,NotAvailable,0.30,0.34,0.81
MD,0.41,0.43,0.36,0.48,0.45,NotAvailable,0.42,0.53,0.80
MA,0.38,0.39,0.35,0.45,0.25,NotAvailable,0.40,0.32,0.80
MI,0.34,0.36,0.24,0.42,0.30,NotAvailable,0.32,0.43,0.76
MN,0.47,0.49,0.33,0.38,0.28,NotAvailable,0.40,0.51,0.84
MS,0.28,0.32,0.23,0.49,0.32,NotAvailable,0.25,0.37,0.71
MO,0.35,0.36,0.29,0.51,0.29,NotAvailable,0.33,0.42,0.79
MT,0.44,0.45,NotAvailable,NotAvailable,0.31,NotAvailable,0.41,0.55,0.79
NE,0.49,0.51,0.39,0.33,0.32,NotAvailable,0.44,0.49,0.84
NV,0.39,0.38,0.27,0.44,0.26,0.40,0.42,0.47,0.75
NH,0.43,0.44,0.34,NotAvailable,NotAvailable,NotAvailable,0.25,0.43,0.82
NJ,0.38,0.40,0.28,0.46,0.24,NotAvailable,0.38,0.37,0.78
NM,0.32,0.34,0.41,NotAvailable,0.28,NotAvailable,0.25,0.31,0.72
NY,0.33,0.36,0.27,0.38,0.25,NotAvailable,0.36,0.31,0.76
NC,0.33,0.35,0.27,0.43,0.26,NotAvailable,0.37,0.46,0.76
ND,0.51,0.52,0.56,NotAvailable,0.37,NotAvailable,0.46,0.72,0.84
OH,0.36,0.37,0.29,0.48,0.22,NotAvailable,0.37,0.40,0.78
OK,0.37,0.38,0.29,0.45,0.32,NotAvailable,0.36,0.43,0.75
OR,0.39,0.39,0.29,0.37,0.28,NotAvailable,0.33,0.47,0.77
PA,0.36,0.39,0.27,0.41,0.29,NotAvailable,0.34,0.31,0.78
RI,0.36,0.38,0.32,0.32,NotAvailable,NotAvailable,0.39,0.33,0.79
SC,0.33,0.35,0.28,0.52,0.22,NotAvailable,0.34,0.38,0.75
SD,0.49,0.54,0.64,NotAvailable,0.33,NotAvailable,0.36,0.36,0.82
TN,0.33,0.33,0.30,0.50,0.20,NotAvailable,0.34,0.47,0.76
TX,0.39,0.41,0.31,0.47,0.41,0.41,0.38,0.40,0.75
UT,0.46,0.47,0.29,0.48,0.29,0.46,0.45,0.49,0.80
VT,0.40,0.41,NotAvailable,NotAvailable,NotAvailable,NotAvailable,0.47,NotAvailable,0.81
VA,0.39,0.40,0.34,0.50,0.43,NotAvailable,0.41,0.53,0.78
WA,0.40,0.40,0.34,0.45,0.29,0.36,0.37,0.43,0.78
WV,0.28,0.28,0.28,NotAvailable,NotAvailable,NotAvailable,0.26,0.34,0.71
WI,0.42,0.44,0.22,0.36,0.33,NotAvailable,0.40,0.43,0.82
WY,0.45,0.45,NotAvailable,NotAvailable,0.40,NotAvailable,0.50,0.45,0.80
